date,benchmark_ret,overlay_ret,equity_weight,defensive_weight,transaction_cost,regime_label,regime_state,bull_aware_equity_weight,bull_aware_defensive_weight,bull_aware_transaction_cost,bull_aware_ret,regime_momentum_equity_weight,regime_momentum_defensive_weight,regime_momentum_transaction_cost,regime_momentum_ret,vol_managed_equity_weight,vol_managed_defensive_weight,vol_managed_transaction_cost,vol_managed_ret,bull_period
2024-12-10,-0.0029638930421207466,-0.0015427737716686707,0.5,0.5,0.0,transition,0,0.7499382943511965,0.2500617056488035,2.7188615469853073e-08,-0.0022531852133369575,0.9499382943511965,0.05006170564880352,2.7188615469908583e-08,-0.0028216329215177876,0.9374228679389957,0.06257713206100435,3.3985769337330216e-08,-0.0027860678913670485,True
2024-12-11,0.008165821859812183,0.0039612416270712325,0.5,0.5,0.0,transition,0,0.7496234768135052,0.25037652318649484,1.5740876884567934e-07,0.006060208090778653,0.9496234768135052,0.05037652318649477,1.5740876884562384e-07,0.007742040183875034,0.9370293460168815,0.06297065398311852,1.967609610570853e-07,0.007636094764890746,True
2024-12-12,-0.0054140321061636465,-0.002950413886841141,0.5,0.5,0.0,transition,0,0.7466571362267931,0.2533428637732069,1.4831702933560399e-06,-0.004167235086602978,0.946657136226793,0.05334286377320696,1.4831702933560954e-06,-0.00515268237433198,0.9333214202834914,0.06667857971650859,1.8539628666950358e-06,-0.005087344941374064,True
2024-12-13,-2.6440818012729572e-05,-0.00025673678548265855,0.5,0.5,0.0,transition,0,0.7240829753545865,0.27591702464541346,1.1287080436103269e-05,-0.00016481305471311228,0.9240829753545865,0.0759170246454135,1.1287080436103269e-05,-7.269466772514073e-05,0.9051037191932332,0.09489628080676682,1.4108850545129115e-05,-8.425813015324352e-05,True
2024-12-16,0.00379931549522472,-0.0001281824826410425,0.0,1.0,0.00025,stress,2,0.5263928962639537,0.4736071037360463,9.884503954531642e-05,0.001958781289387233,0.7263928962639536,0.27360710373604635,9.884503954531642e-05,0.002694280884960385,0.6579911203299421,0.3420088796700579,0.00012355629943164553,0.0024180222323943014,True
2024-12-17,-0.0038639596449174807,0.00012180267965899993,0.0,1.0,0.0,stress,2,0.36441633939457496,0.635583660605425,8.098827843468936e-05,-0.0014116625147946621,0.5,0.5,0.00011319644813197682,-0.001984274930761217,0.4555204242432187,0.5444795757567813,0.0001012353480433617,-0.0017950288134080778,True
2024-12-18,-0.029492894104891865,-0.0052368773596394025,0.0,1.0,0.0,stress,2,0.2673572481012727,0.7326427518987273,4.852954564665113e-05,-0.01177042879219514,0.4673572481012727,0.5326427518987273,1.6321375949363642e-05,-0.016589423971548348,0.3341965601265909,0.6658034398734092,6.066193205831392e-05,-0.013403816650334075,True
2024-12-19,-0.0008650990436227524,0.001101860920665887,0.0,1.0,0.0,stress,2,0.25,0.75,8.678624050636352e-06,0.0006014423055430907,0.45,0.55,8.678624050636352e-06,0.00020805031268536286,0.3125,0.6875,1.084828006329544e-05,0.0004763376517623917,True
2024-12-20,0.010869120584686254,0.00012229423994125632,0.0,1.0,0.0,stress,2,0.25000000005987716,0.7499999999401228,2.9938579393373745e-14,0.002809000826741056,0.45000000005987717,0.5499999999401228,2.9938579393373745e-14,0.004958366095690056,0.31250000007484646,0.6874999999251535,3.7423231180611085e-14,0.0034806774734410066,True
2024-12-23,0.007287319692792726,-0.0006113964294448548,0.0,1.0,0.0,stress,2,0.5,0.5,0.0001249999999700614,0.0032129616317038744,0.6433894776987028,0.3566105223012972,9.669473881941281e-05,0.004373859672112492,0.5404300044067027,0.45956999559329725,0.00011396500216592815,0.003543341757137367,True
2024-12-24,0.011042722967758989,0.005516069669368212,0.5,0.5,0.00025,transition,0,0.7300299607081148,0.26997003929188523,0.0001150149803540574,0.008078631390812503,0.9300299607081148,0.06997003929188517,0.00014332024150470602,0.010160987449018168,0.874605076627632,0.12539492337236802,0.00016708753611046462,0.009552304359619996,True
2024-12-26,-0.00040562645280495246,-8.051898646110889e-05,0.5,0.5,0.0,transition,0,0.7495920935292937,0.2504079064707063,9.781066410589455e-06,-0.00025258855916522697,0.9495920935292936,0.050407906470706365,9.781066410589401e-06,-0.0003826315457027643,0.8698420060992667,0.13015799390073335,2.381535264182666e-06,-0.00032337731682620537,True
2024-12-27,-0.011055735815118317,-0.00540560357206582,0.5,0.5,0.0,transition,0,0.7499979781270534,0.2500020218729466,2.0294229887984906e-07,-0.008230849788191894,0.9499979781270533,0.05000202187294667,2.0294229887984906e-07,-0.010490902685412893,0.875256055942006,0.12474394405799405,2.7070249213696496e-06,-0.009648803279144469,True
2024-12-30,-0.010702011777237508,-0.004617599214617962,0.5,0.5,0.0,transition,0,0.749998299492624,0.250001700507376,1.606827852995707e-10,-0.007659784963433638,0.9499982994926239,0.05000170050737607,1.606827852995707e-10,-0.010093549988481455,0.8392958719422419,0.16070412805775813,1.798009199988204e-05,-0.008764411437998502,True
2024-12-31,-0.004284790432948271,-0.0018372566835802018,0.5,0.5,0.0,transition,0,0.7499919114566768,0.25000808854332324,3.1940179736067444e-09,-0.0030609871583166764,0.9499919114566768,0.05000808854332317,3.194017973551233e-09,-0.004040000658063905,0.8225285221544693,0.17747147784553075,8.383674893886307e-06,-0.003424439244687829,True
2025-01-02,-0.002223873314030289,-0.0012339176279837494,0.5,0.5,0.0,transition,0,0.7498007374057811,0.2501992625942189,9.558702544781861e-08,-0.0017285965357561404,0.9498007374057811,0.05019926259421892,9.558702544787412e-08,-0.0021245788101747565,0.8232167028084687,0.1767832971915313,3.440903269997242e-07,-0.0018742021438516655,True
2025-01-03,0.012595956411720177,-0.00025,0.0,1.0,0.00025,stress,1,0.25,0.75,0.0002499003687028906,0.0028990887342271537,0.45,0.55,0.00024990036870289054,0.00541828001657119,0.2747204755745638,0.7252795244254362,0.00027424811361695243,0.0031861190221272907,True
2025-01-06,0.005538101159955344,0.002641061316922627,0.5,0.5,0.00025,transition,0,0.7489588463695905,0.25104115363040946,0.00024947942318479525,0.0039595898649693664,0.9489588463695906,0.0510411536304094,0.0002494794231847953,0.005018405802182454,0.7893474925286782,0.2106525074713218,0.00025731350847705723,0.0041655764908556155,True
2025-01-07,-0.011103896321238205,-0.005856900588040392,0.5,0.5,0.0,transition,0,0.7499996739827532,0.25000032601724675,5.204138065813546e-07,-0.008480915447223675,0.9499996739827532,0.0500003260172468,5.20413806581299e-07,-0.010579713740502799,0.7811690291535611,0.21883097084643888,4.089231687558537e-06,-0.008811575212280164,True
2025-01-08,0.0015603237756451893,0.0010853004207165284,0.5,0.5,0.0,transition,0,0.7499999856628461,0.2500000143371539,1.5584004642299477e-10,0.0013228119287198466,0.949999985662846,0.05000001433715395,1.5584004642299477e-10,0.0015128212706913109,0.762837294343965,0.23716270565603503,9.165867404798078e-06,0.0013258422600310146,True
2025-01-09,0.0,0.0,0.5,0.5,0.0,transition,0,0.7499999917161174,0.2500000082838826,3.0266356643160464e-12,-3.0266356643160464e-12,0.9499999917161175,0.05000000828388251,3.0266357198271974e-12,-3.0266357198271974e-12,0.7660777591980824,0.2339222408019176,1.620232427058721e-06,-1.620232427058721e-06,True
2025-01-10,-0.01541165040341319,-0.008620682483970576,0.5,0.5,0.0,transition,0,0.749999985906898,0.250000014093102,2.9046097194118658e-12,-0.012016166255184887,0.9499999859068979,0.05000001409310206,2.9046097749230172e-12,-0.014732553422961932,0.7666661619123533,0.23333383808764674,2.942013571354263e-07,-0.012242819386823074,False
2025-01-13,0.0015754139322881056,0.0009099115365949206,0.5,0.5,0.0,transition,0,0.7499995424384616,0.25000045756153844,2.217342182087023e-10,0.001242661903690695,0.9499995424384615,0.05000045756153848,2.217342182087023e-10,0.0015088628619679687,0.7468656951948857,0.25313430480511434,9.9002333587338e-06,0.0012285907263695068,False
2025-01-14,0.001146289893115604,0.000695319656392912,0.5,0.5,0.0,transition,0,0.7499995392876345,0.2500004607123655,1.5754135218593035e-12,0.0009208043576437154,0.7499995392876345,0.2500004607123655,0.00010000000157541348,0.0008208043576437155,0.7468286506054439,0.2531713493945561,1.852229472087963e-08,0.0009179258840851505,False
2025-01-15,0.018312792769356268,0.010255700158954384,0.5,0.5,0.0,transition,0,0.7499998793136246,0.25000012068637545,1.700129950155116e-10,0.014284244349379723,0.9499998793136246,0.05000012068637538,0.00010000017001299506,0.01740708139354048,0.7458012253198674,0.25419877468013263,5.137126427882666e-07,0.014216072918616459,True
2025-01-16,-0.002112636997870454,-0.0007516262381186967,0.5,0.5,0.0,transition,0,0.7499999571543099,0.2500000428456901,3.8920342670945017e-11,-0.0014321315402880275,0.9499999571543098,0.05000004284569015,3.892034261543387e-11,-0.0019765358441887304,0.6853204017117271,0.31467959828827285,3.024041180407011e-05,-0.0012863127713851241,True
2025-01-17,0.009991006073426734,0.004873700357054422,0.5,0.5,0.0,transition,0,0.7499999963860318,0.25000000361396824,1.9615860935573436e-11,0.007432353158637156,0.9499999963860317,0.05000000361396828,1.9615860935573436e-11,0.009479275445186081,0.6863914525961269,0.3136085474038731,5.355254421998689e-07,0.00678080892331842,True
2025-01-20,0.0,0.0,0.5,0.5,0.0,transition,0,0.7499999989815069,0.25000000101849307,1.2977375840605987e-12,-1.2977375840605987e-12,0.9499999989815069,0.05000000101849311,1.2977375840605987e-12,-1.2977375840605987e-12,0.8433473944648102,0.15665260553518978,7.847797093434166e-05,-7.847797093434166e-05,True
2025-01-21,0.00876821430596375,0.0045668556909935765,0.5,0.5,0.0,transition,0,0.7499999994729468,0.2500000005270532,2.457199443917091e-13,0.006667534993804265,0.9499999994729469,0.05000000052705311,2.457199999028603e-13,0.008348078439792335,0.844085274384741,0.155914725615259,3.689399599653975e-07,0.007457738014675027,True
2025-01-22,0.006137961132307579,0.0029471927205808046,0.5,0.5,0.0,transition,0,0.7499999995615657,0.2500000004384343,4.4309445001999846e-14,0.004542576923601997,0.9499999995615658,0.05000000043843422,4.4309445001999846e-14,0.005818884288292708,0.854444131519928,0.14555586848007196,5.179428567593513e-06,0.005203911569164644,True
